Day,Open,High,Low,Shares Traded,Turnover in Rs.,Close
Thursday,1068.35,1079.35,1066.95,27267379,6.61E+09,1069.75
Friday,1069.15,1069.15,1059.6,23382015,7.49E+09,1065.1
Monday,1064.8,1064.8,1052.1,18018743,5.55E+09,1059.5
Tuesday,1059.95,1078.1,1059.25,21876937,7.28E+09,1072.05
Wednesday,1072.15,1088.5,1068.35,24685120,8.95E+09,1083.65
Thursday,1083.8,1109,1083.8,37170474,1.11E+10,1105.5
Friday,1105.7,1127.15,1103.3,39255312,1.24E+10,1110.45
Monday,1110.35,1116.7,1102.45,28105463,8.72E+09,1105.55
Tuesday,1103.55,1106.05,1092.5,23685095,8.03E+09,1103.1
Wednesday,1103.1,1108.45,1088.1,26611850,8.53E+09,1091.95
Thursday,1091.35,1091.35,1079.55,29236416,9.81E+09,1085.9
Friday,1085.95,1089.95,1072.75,28964869,1.03E+10,1077.7
Monday,1076.15,1076.15,1063.4,1394931,4.01E+08,1070.65
Tuesday,1065.95,1074.75,1064.5,22139911,6.57E+09,1072.55
Wednesday,1072.45,1073.95,1062.15,27922213,7.58E+09,1064.2
Thursday,1063.9,1066.55,1050.15,32443885,9.93E+09,1053.4
Friday,1053.2,1061.2,1046.9,28239132,7.98E+09,1051.7
Monday,1051.45,1062.8,1050.9,26457025,6.38E+09,1061.45
Tuesday,1061.45,1076.35,1053.6,34607069,8.14E+09,1072.85
Wednesday,1073,1077.7,1059.75,53427200,1.21E+10,1063.15
Thursday,1064.25,1070.05,1059.55,43294501,9.86E+09,1066
Friday,1066.4,1077.55,1066.2,43832220,1.09E+10,1074.6
Monday,1074.2,1082.4,1072.55,37036989,7.92E+09,1075.25
Tuesday,1074.35,1079.3,1070.2,26869345,6.23E+09,1072.1
Wednesday,1071.75,1072.1,1059.55,28799186,7.53E+09,1068
Thursday,1068.1,1072.6,1061.4,26832655,6.53E+09,1070.65
Friday,1070.65,1076.7,1069.05,25904867,5.89E+09,1071.15
Monday,1070.95,1081.4,1061.05,21608532,5.61E+09,1063
Tuesday,1063.05,1076.6,1062.2,42862979,1.04E+10,1075.5
Thursday,1075.2,1083.7,1072.95,48317102,1.08E+10,1078.95
Friday,1079,1084,1067.6,51086895,1.06E+10,1069.2
Monday,1062.5,1067.95,1061,30726001,7.37E+09,1063.75
Tuesday,1063.65,1071.2,1062.3,34638057,8.20E+09,1068.7
Thursday,1068.7,1079,1065.7,29660741,7.81E+09,1071.5
Friday,1071.5,1076.7,1064.9,42200669,9.88E+09,1069.15
Monday,1064.05,1078.35,1064.05,35798530,9.96E+09,1072.55
Tuesday,1072.35,1076.85,1069.6,31745448,9.15E+09,1070.65
Wednesday,1070.55,1074.5,1066.45,28191743,8.90E+09,1067.45
Thursday,1068.3,1070.25,1061.9,38781188,1.01E+10,1064.15
Friday,1064.1,1064.1,1051.75,34365231,9.91E+09,1053.75
Monday,1054.65,1059.9,1046.35,29925067,9.10E+09,1048.05
Tuesday,1048.2,1053.25,1043.3,39738793,1.17E+10,1048.2
Wednesday,1047.25,1051.55,1043.3,35505602,1.36E+10,1045
Thursday,1047.7,1048.2,1033.4,47387436,1.47E+10,1036.1
Friday,1036.35,1037.35,1026.45,49214540,1.52E+10,1035.2
Monday,1035,1045.3,1031.45,36055527,1.18E+10,1033.4
Tuesday,1033.35,1037.45,1020.7,36494424,1.17E+10,1023.4
Wednesday,1023.25,1023.25,957.95,34980485,1.09E+10,982.2
Thursday,982.2,993.05,969,41790832,1.31E+10,971.7
Friday,972.05,974.5,902.7,49968104,1.37E+10,919.7
Monday,916.15,916.15,861.05,46030271,1.06E+10,872.25
Tuesday,872.15,910.35,868.5,71872529,1.71E+10,900.2
Wednesday,899.7,915,899.7,52494122,1.12E+10,912.2
Thursday,910.2,910.35,873.7,55774749,1.15E+10,898.8
Friday,903.75,903.75,849.95,47900433,9.68E+09,854.2
Monday,853,878.6,853,48761034,1.03E+10,869.05
Tuesday,869.15,893.35,858.85,54353301,1.17E+10,861.4
Wednesday,861.35,877,859.2,52833284,1.12E+10,873.7
Thursday,873.15,893.05,868.3,51712403,1.12E+10,890
Friday,891.75,922.55,891,63992439,1.30E+10,913.85
Monday,914.65,919.2,905.5,49595909,1.03E+10,910.1
Wednesday,910.05,915.05,896.25,40480562,8.40E+09,899.65
Thursday,899.65,914.25,899.65,47793023,1.08E+10,911.65
Friday,911.6,919.75,903.05,38678056,9.72E+09,914.6
Monday,911.2,913.05,884.65,36382088,9.63E+09,901.95
Tuesday,903,914.3,902.55,36541512,8.42E+09,912.7
Wednesday,915.5,942.8,912.9,53379009,1.26E+10,940.35
Thursday,940.45,959.75,940.45,49847301,1.24E+10,954.9
Friday,958.4,969.9,956.85,55195833,1.40E+10,960.4
Monday,963.65,966.15,954.35,43543056,1.05E+10,963.4
Tuesday,963.4,973.25,962.5,47172702,1.16E+10,971.25
Wednesday,971.95,989.05,971.95,53218059,1.34E+10,986.25
Thursday,984.2,984.5,969.35,42709459,9.93E+09,972.05
Friday,972.2,981,970.85,38879800,1.07E+10,976.65
Monday,980.05,994.15,973.2,44249199,1.13E+10,976.4
Tuesday,976.75,994.15,976.55,51827720,1.21E+10,993.2
Wednesday,992.95,1000.95,987.4,59400439,1.44E+10,991.2
Thursday,991.25,998,979.95,60241032,1.31E+10,983.2
Monday,983.15,996.6,974.05,37908923,8.80E+09,977.45
Tuesday,977.35,977.35,960.5,46820016,1.06E+10,963.1
Wednesday,962.85,976.4,959.35,48402824,1.25E+10,971.9
Thursday,973.55,997.3,973.55,53177458,1.38E+10,994
Friday,994.25,1009.55,991.95,57608835,1.54E+10,997.6
Monday,997.25,1001.3,987.85,44011648,1.15E+10,991.05
Tuesday,991.2,1007.4,991.15,50531340,1.13E+10,1001.9
Wednesday,1001.95,1014.1,984.45,44843739,1.04E+10,987.5
Thursday,987.5,1001.15,985.75,51431168,1.19E+10,997.7
Friday,999.1,1008.95,999.1,62739687,1.32E+10,1004.05
Monday,1004.55,1014.25,1003.6,46429666,9.24E+09,1010.9
Tuesday,1010.95,1013.25,999.85,43465584,9.79E+09,1005.4
Wednesday,1005.45,1017.2,1004.7,13831835,2.90E+09,1015.8
Thursday,1016.05,1038.35,1015.15,50501218,1.34E+10,1035.7
Monday,1034.2,1072,1032.85,73038463,1.56E+10,1068.15
Tuesday,1067.3,1082.4,1046.15,72218774,1.79E+10,1050.2
Wednesday,1050.4,1064.85,1046.3,57521765,1.40E+10,1056.35
Thursday,1056.45,1075.9,1056.45,60059388,1.56E+10,1062.45
Friday,1063.05,1075.05,1057.3,54530688,1.33E+10,1059
Monday,1059.25,1084.65,1059.25,52432285,1.38E+10,1080.6
Tuesday,1087.6,1097.6,1071.05,67611969,1.85E+10,1076.05
Wednesday,1076.15,1082.3,1067.65,58924642,1.53E+10,1070.8
Thursday,1070.3,1071,1063,60878364,1.74E+10,1067.15
Monday,1067.2,1074.5,1063.25,53290729,1.29E+10,1065.4
Tuesday,1066.05,1082.6,1065.65,58418781,1.38E+10,1077.7
Wednesday,1077.95,1107.15,1077.95,67346487,1.75E+10,1104.55
Thursday,1105.1,1132.65,1105.1,77041903,2.34E+10,1110.45
Friday,1110.9,1122.65,1109.65,59278142,1.57E+10,1112.3
Monday,1112.15,1123.55,1112.15,54626721,1.36E+10,1115.25
Tuesday,1112.15,1122.85,1107.7,69174821,1.84E+10,1110.2
Wednesday,1110.65,1121.55,1104.75,54115209,1.55E+10,1107.65
Thursday,1107.75,1114.15,1069.95,66162787,1.86E+10,1098.75
Friday,1098.65,1102.9,1082.75,41868889,1.08E+10,1087.85
Tuesday,1089.9,1098,1071.35,47044326,1.23E+10,1082.3
Wednesday,1082.5,1086.35,1057.1,49991317,1.31E+10,1060.75
Thursday,1060.45,1064.8,1047.5,55791413,1.50E+10,1062
Friday,1061.8,1061.8,1043.65,47173980,1.20E+10,1050.85
Monday,1051,1055,1032.6,41895503,9.66E+09,1048.5
Wednesday,1048.9,1058.3,1030.5,42610311,9.79E+09,1034.25
Thursday,1033.85,1037.7,1017.35,60268297,1.18E+10,1020
Friday,1019.9,1036.35,1010.45,56360665,1.45E+10,1033.8
Monday,1033.9,1062.3,1033.9,53151737,1.41E+10,1059.05
Tuesday,1058.85,1071.15,1052.05,43951938,1.32E+10,1055.3
Wednesday,1054.95,1065.25,1054.1,49608297,1.40E+10,1060.75
Thursday,1063.45,1074.85,1062.9,61870889,1.74E+10,1072.25
Friday,1072.4,1099.25,1072.4,74407831,1.93E+10,1096.2
Monday,1093.05,1111.55,1093.05,61389127,1.70E+10,1100.15
Tuesday,1100.55,1114.55,1097.9,67831569,2.14E+10,1109.9
Wednesday,1110,1119.4,1098.7,74868151,2.20E+10,1102.8
Thursday,1098.8,1105.35,1093.6,68965273,2.36E+10,1098.2
Friday,1098.15,1105.9,1073.45,71147237,2.17E+10,1088.55
Monday,1089.45,1118.5,1089.45,60424974,1.79E+10,1109.8
Tuesday,1109.45,1112.6,1090.2,55221142,1.57E+10,1094.15
Wednesday,1094.15,1104.8,1085.3,59753435,1.85E+10,1090.3
Thursday,1090.25,1116.05,1078.95,83524489,2.60E+10,1109.2
Friday,1109.55,1121.75,1089.05,84626074,2.71E+10,1093.15
Monday,1093.25,1099.8,1082.65,64348299,2.08E+10,1091.35
Tuesday,1091.35,1099,1090,55745783,1.72E+10,1092.85
Wednesday,1092.85,1096.95,1087.5,53732790,1.54E+10,1089.4
Thursday,1089.6,1098.6,1081.7,47718204,1.36E+10,1085.3
Friday,1085.85,1089.7,1077,59839751,1.86E+10,1080.1
Monday,1083.25,1088.75,1068.7,49771696,1.47E+10,1071.35
Tuesday,1071.35,1076.45,1068.85,58946386,1.78E+10,1071.65
Wednesday,1072.85,1072.85,1058.8,50687169,1.46E+10,1067.45
Thursday,1067.65,1082,1067.65,66028228,2.00E+10,1075.4
Friday,1076.95,1088.05,1076.95,58399504,1.62E+10,1081.65
Monday,1083.05,1086.95,1074.15,57892596,1.40E+10,1076.9
Tuesday,1076.25,1081.2,1069.4,68534066,1.60E+10,1074.25
Wednesday,1074.4,1117.1,1074,73870009,1.91E+10,1113.1
Thursday,1114.85,1130.95,1104.3,93831069,2.65E+10,1110.45
Friday,1112.8,1131.85,1104.45,73014449,2.15E+10,1123.75
Monday,1124.85,1144.15,1124.85,61164119,1.68E+10,1131.55
Tuesday,1131.95,1143.3,1125.55,59329834,1.57E+10,1129.5
Wednesday,1129.8,1142.3,1129.6,55749416,1.59E+10,1135.1
Thursday,1135.5,1151.65,1133.85,60597908,1.39E+10,1150
Friday,1150.65,1164.1,1150.3,67681171,1.57E+10,1159.95
Monday,1159.85,1177.05,1156.7,59695028,1.48E+10,1172.85
Tuesday,1172.85,1178.1,1155.1,59280466,1.56E+10,1158.9
Wednesday,1158.45,1158.45,1134.65,49629349,1.23E+10,1145.95
Thursday,1146.05,1158.05,1146.05,34460898,9.34E+09,1149.85
Friday,1149.85,1165.7,1145.5,53387825,1.32E+10,1163.5
Monday,1163.65,1167.6,1155.45,51745981,1.28E+10,1165.45
Tuesday,1165.75,1192.65,1165.75,66999666,1.74E+10,1189.4
Wednesday,1190.15,1205.95,1180,76052450,2.02E+10,1189.2
Thursday,1189.6,1197,1135.2,104258064,2.67E+10,1142.05
Friday,1142.05,1181.25,1135.45,68816352,1.73E+10,1178
Monday,1178.45,1201.1,1172.3,74298964,1.81E+10,1177.35
Tuesday,1176.4,1193.1,1175.15,63428456,1.84E+10,1178.5
Wednesday,1176.55,1182.65,1162.75,61487666,1.65E+10,1172.6
Thursday,1173.6,1195.2,1173.6,50206347,1.75E+10,1193.05
Friday,1193.6,1199.6,1182.55,50281539,1.85E+10,1187.65
Monday,1187.5,1192.75,1164.55,50588345,1.74E+10,1167.85
Tuesday,1167.85,1171.2,1144.3,50380999,1.66E+10,1150.45
Wednesday,1150.2,1165.4,1143.55,41957225,1.36E+10,1157.05
Thursday,1156.85,1163.65,1153.15,31818825,1.04E+10,1159.45
Friday,1159.6,1173.75,1159.6,61764394,1.71E+10,1169.75
Monday,1169.95,1184.7,1163.75,44598134,1.26E+10,1169.3
Tuesday,1169.4,1170.8,1150.3,40006138,1.16E+10,1152.15
Wednesday,1152.05,1158.95,1148.5,41282550,1.23E+10,1155.6
Thursday,1155.55,1155.55,1141.05,32471168,9.64E+09,1144.2
Friday,1144.5,1148.65,1135.9,36787369,1.09E+10,1138.45
Tuesday,1138.1,1140.2,1117.85,32691866,9.64E+09,1123.05
Wednesday,1130,1134.1,1121.35,41551364,1.12E+10,1123.35
Thursday,1123.6,1138.45,1123.6,55362083,1.42E+10,1129.55
Monday,1129.85,1143.3,1129.85,41464447,1.12E+10,1138.95
Tuesday,1138.8,1147.3,1132.3,50733525,1.40E+10,1136.95
Wednesday,1136.6,1136.9,1121.45,39862825,1.03E+10,1123.5
Thursday,1124.05,1149.65,1123.9,49472486,1.39E+10,1145.9
Friday,1146.05,1153.3,1139.9,40192567,1.13E+10,1141.95
Monday,1141.9,1147.9,1134,31263947,9.17E+09,1135.25
Tuesday,1135.15,1137.45,1122.1,37258542,1.09E+10,1126.7
Wednesday,1126.7,1140.25,1125.75,48371804,1.75E+10,1138.5
Thursday,1138.55,1150.2,1138.55,48509919,1.68E+10,1143.6
Friday,1143.25,1151.55,1138.65,38866977,1.23E+10,1146.5
Monday,1146.55,1152.55,1130.45,32838768,1.12E+10,1134.15
Tuesday,1130.8,1133.5,1116.65,32533210,1.05E+10,1118.75
Wednesday,1119,1136.6,1118.95,34383746,1.26E+10,1125.1
Thursday,1125.25,1135,1123.8,34219373,1.15E+10,1129
Friday,1125.55,1127.05,1097.6,42127555,1.33E+10,1100.3
Monday,1100.5,1107.2,1088.05,38335333,1.18E+10,1104.15
Tuesday,1104,1108.8,1095,39715536,1.26E+10,1106
Wednesday,1106.25,1116.85,1105.7,40697311,1.14E+10,1110.6
Thursday,1110.65,1113.85,1089,44989860,1.19E+10,1094.3
Friday,1094.25,1103.35,1094.1,30866979,9.47E+09,1097.4
Monday,1097.55,1098.65,1073.3,41590165,1.10E+10,1074.2
Tuesday,1074.25,1085.75,1073.4,35796410,9.72E+09,1084.5
Thursday,1084.8,1101.1,1084.8,44413724,1.33E+10,1093.3
Friday,1093.4,1098.6,1091.5,34201217,8.74E+09,1096.95
Monday,1096.95,1102.05,1096.25,33065194,9.39E+09,1100.95
Tuesday,1100.9,1111.85,1096.65,34359853,9.52E+09,1110.7
Wednesday,1110.7,1122.7,1110.7,38154848,1.04E+10,1117.6
Thursday,1117.7,1136.55,1117.7,41844601,1.09E+10,1127.6
Friday,1127.05,1127.3,1111.15,39471255,9.49E+09,1116.4
Monday,1116.8,1121.95,1114.2,35779577,9.09E+09,1119.65
Tuesday,1119.95,1125.95,1111.45,45786733,1.11E+10,1115.1
Wednesday,1115.15,1121.5,1102.65,43830185,1.23E+10,1107.8
Thursday,1108.25,1111.25,1089.85,48839381,1.21E+10,1092.8
Friday,1092.8,1099.75,1079.95,55619999,1.31E+10,1090.65
Monday,1091.7,1097.95,1071.35,43649853,1.04E+10,1074.35
Tuesday,1074.75,1074.85,1028.25,69838950,1.59E+10,1049.2
Wednesday,1049.5,1050.9,1035.5,50691915,1.32E+10,1045.3
Thursday,1045.2,1045.35,1024.3,40362927,1.05E+10,1026.75
Friday,1026.9,1069.2,1026.9,51001192,1.31E+10,1067
Monday,1067,1071.5,1054.1,45839909,1.22E+10,1062.7
Tuesday,1061.9,1062.3,1034.1,47296910,1.26E+10,1038.2
Wednesday,1038.2,1047.95,1026.5,59425589,1.61E+10,1041.65
Thursday,1041.4,1049.95,1030.1,56754281,1.38E+10,1032.15
Friday,1032.5,1037.7,1020.1,48912840,1.41E+10,1028.8
Monday,1029.25,1047.25,1029.25,35078791,9.65E+09,1039.75
Tuesday,1040.15,1047.4,1036.55,31085674,8.27E+09,1045.4
Wednesday,1045.55,1067.5,1045,48382002,1.24E+10,1064.2
Thursday,1064.15,1072,1055.5,49917727,1.21E+10,1064.35
Friday,1063.75,1063.75,1044.35,34431823,1.04E+10,1048.8
Monday,1049.95,1072.5,1049.95,36192600,9.21E+09,1069.9
Tuesday,1070.95,1099.5,1070.55,57802224,1.37E+10,1097.05
Wednesday,1097.15,1100.45,1088.5,45733083,1.10E+10,1092.8
Thursday,1093,1102.05,1080.8,36920383,1.02E+10,1082.85
Friday,1081.75,1087.6,1079.45,45124098,1.08E+10,1085.7
Monday,1085.8,1097.55,1085.7,35014054,8.09E+09,1088.9
Tuesday,1088.9,1097.4,1073.75,38285735,9.99E+09,1074.95
Wednesday,1074.7,1079.2,1056.45,46367417,1.30E+10,1062.9
Thursday,1063.1,1074,1056.25,44432596,1.18E+10,1070.05
Friday,1069.5,1069.8,1058.95,36400989,9.72E+09,1062.55
Monday,1065.6,1065.6,1054.45,28998464,7.95E+09,1061.85
Tuesday,1061.9,1063.3,1048.55,48986465,1.23E+10,1055.4
Wednesday,1055.35,1061.05,1042.2,38081458,1.05E+10,1044.2
Thursday,1044.5,1053.7,1044,50093269,1.33E+10,1048.55
Friday,1049.4,1068.9,1049.4,42669654,1.09E+10,1057.8
Monday,1058,1070.15,1058,31615730,8.32E+09,1068.95
Tuesday,1067.9,1071.7,1064.95,42057870,1.06E+10,1068.05
Wednesday,1067.8,1074,1065.55,39630859,1.20E+10,1069.9
Thursday,1069.95,1078.55,1068.4,39803828,1.22E+10,1070.55
Friday,1071,1076.2,1067.45,31658677,9.69E+09,1073.8
Monday,1074,1085.3,1072.9,41663659,1.14E+10,1082.05
Tuesday,1081.9,1083.65,1077.55,39642048,1.06E+10,1080.3
Wednesday,1081.55,1087.4,1069.45,40196542,1.33E+10,1071.7
Thursday,1070.95,1070.95,1055.3,36454257,1.06E+10,1056.6
Friday,1057.1,1064.9,1054.9,31397210,9.26E+09,1058.25
Monday,1057.95,1058.45,1043.3,30059725,8.13E+09,1048
Tuesday,1047.9,1051.85,1033.95,41557411,1.14E+10,1035.95
Wednesday,1035.95,1037.5,1025,36540126,9.84E+09,1032.55
Thursday,1032.55,1044,1032.55,32852208,1.01E+10,1041.3
Friday,1041.35,1041.5,1032.25,38248003,1.03E+10,1035.9
Monday,1035.2,1035.2,1009,38097742,1.15E+10,1012
Tuesday,1012.05,1023.65,1005.75,48047033,1.39E+10,1021.9
Wednesday,1021.8,1022.2,1001.9,43163651,1.27E+10,1004.05
Thursday,1004.2,1021.3,997.85,77644954,1.95E+10,1001.55
Friday,1001.05,1001.05,972.55,59582074,1.48E+10,973.5
Monday,973,977.95,953.15,55206523,1.30E+10,971.65
Tuesday,973,987.5,956.8,54986098,1.34E+10,960.65
Wednesday,960.3,964.1,943.6,58530809,1.34E+10,958.9
Thursday,959.2,972.05,954.15,43346922,9.84E+09,957.7
Friday,957.55,957.55,935.55,42399615,1.01E+10,954.75
Monday,954.9,966.5,953.9,42315175,9.96E+09,963.25
Tuesday,963.3,969.55,955.4,40644012,9.60E+09,966.65
Wednesday,967.7,978.6,966.55,44116134,1.12E+10,969.1
Thursday,969.15,971.75,951.2,42631668,1.02E+10,953.55
Friday,953.8,963.85,948,53339216,1.27E+10,961.95
Monday,961.15,971.55,961.15,38876795,9.58E+09,969.85
Tuesday,970.4,977.2,969.9,26756958,6.32E+09,976.05
Wednesday,976.05,976.25,967.25,40794287,9.40E+09,969.65
Friday,970.75,981.2,968.35,33890407,8.76E+09,979.25
Monday,979.4,983.55,978.2,29704038,7.51E+09,979.85
Tuesday,979.75,990.85,979.05,41504172,1.03E+10,988.55
Wednesday,988.6,994.25,984.35,55111392,1.37E+10,988.45
Thursday,988.55,995.3,983.45,40653997,1.14E+10,985.7
Friday,985.75,996.4,984.7,39913412,1.38E+10,995.2
Monday,992.4,1001.45,986.15,45092815,1.20E+10,998.85
Tuesday,998.85,1003.3,985.7,54473165,1.64E+10,987.7
Wednesday,987.35,988.1,981.1,44209404,1.16E+10,985.7
Thursday,985.85,989.4,981.45,75078066,1.89E+10,987.25
Friday,987.65,1012.75,986.7,70534773,1.72E+10,1010.6
Monday,1010.9,1024.65,1010.85,56393644,1.34E+10,1013.5
Tuesday,1013.65,1014.8,999.4,44809812,1.12E+10,1001.1
Wednesday,1000.7,1008.8,990.85,53158549,1.35E+10,1006.95
Thursday,1006.9,1013.45,1004.2,57436407,1.67E+10,1008.6
Friday,1008.45,1008.45,992.7,45009048,1.33E+10,995.2
Monday,992.05,1005.85,985.25,51864825,1.60E+10,998.55
Wednesday,998.6,1002.35,993.35,44180814,1.41E+10,998.85
Thursday,998.95,1005.15,998.8,43058940,1.11E+10,1001.65
Friday,1001.4,1001.4,989.85,31250206,8.72E+09,992
Monday,991.75,997,983.55,30548896,8.89E+09,985.75
Tuesday,985.75,996.8,985.75,35811735,1.03E+10,994.9
Wednesday,994.15,994.15,981.6,35931214,1.10E+10,983.6
Thursday,983.45,985.25,970.8,40460954,1.19E+10,976.05
Friday,975.6,975.6,960.7,46970014,1.15E+10,969.6
Monday,969.85,974.75,967.35,39800308,1.08E+10,970.3
Tuesday,969.95,969.95,960.2,40927813,1.08E+10,966.2
Wednesday,964.65,971.85,960.5,44112468,1.18E+10,970.05
Thursday,970.1,976.25,968.25,29510252,8.58E+09,969.9
Friday,969.95,978,969.25,48529490,1.28E+10,976.45
Monday,976.15,976.15,961.55,38959112,1.03E+10,963.15
Tuesday,961.15,964.2,950.3,43093930,1.21E+10,955.2
Thursday,955.35,957.9,945.8,41043857,1.16E+10,948.2
Friday,948.1,951.8,944.5,44508105,1.11E+10,948.2
Monday,947.8,956.35,946.25,40189307,9.61E+09,954.75
Tuesday,954.8,963.15,952.5,54859797,1.34E+10,960.8
Wednesday,960.85,968.75,952.95,46565044,1.22E+10,954.75
Thursday,954.8,960.45,945,47794544,1.70E+10,958.45
Friday,958.45,973.5,958.45,50971734,1.54E+10,971.05
Monday,971.5,976.5,969,40659614,1.37E+10,972.45
Wednesday,972.9,983.6,971.7,49810083,1.55E+10,973.6
Thursday,973.7,976.05,966.55,56768806,1.70E+10,973.3
Friday,973.8,982.5,968.8,52619622,1.68E+10,971.65
Monday,971.75,976.2,965.65,32914353,1.11E+10,967.35
Tuesday,967.5,976.35,961.65,35375332,1.13E+10,962.5
Wednesday,962.9,963.75,955.45,50462667,1.44E+10,957.35
Thursday,957.7,959.8,945,38784328,1.21E+10,946.9
Friday,946.8,946.8,929.25,50212164,1.49E+10,932.2
Monday,932.35,934.9,920.1,41855140,1.11E+10,922.7
Tuesday,922.55,939.7,921.65,63152064,1.76E+10,936.9
Wednesday,936.15,944.35,935.9,59331163,1.45E+10,937.75
Thursday,937.35,953.3,937.05,101284389,2.55E+10,951.4
Friday,951.45,956.95,946.4,81886663,2.10E+10,951.45
Monday,951.6,965.5,951.6,20401035,5.56E+09,962.1
Tuesday,962.85,963.7,957.2,46548237,1.51E+10,962.3
Thursday,962.35,970.2,957.95,61354415,2.03E+10,960.7
Friday,960.5,960.95,954.35,47446182,1.35E+10,956.95
Monday,957.55,958.55,952.1,43589114,1.17E+10,954.05
Tuesday,953.9,960.85,948.05,44778171,1.37E+10,959.85
Wednesday,960.35,965.75,956.9,50761991,1.57E+10,962.65
Thursday,964.15,974.1,963.5,62899686,2.08E+10,971.9
Friday,972.3,992.05,972.3,71314009,2.28E+10,990.35
Monday,990.35,1000.3,989.05,65778859,2.02E+10,996.85
Wednesday,996.85,1007.2,992.3,79534922,2.77E+10,1001.6
Thursday,1001.8,1012.75,1001.8,70834273,2.37E+10,1008.75
Friday,1009.5,1026,1009.5,82797325,2.96E+10,1020.15
Monday,1020.9,1030.35,1017.5,65195626,2.09E+10,1026.2
Tuesday,1026.4,1040.45,1026,78128618,2.52E+10,1036.15
Wednesday,1036.35,1042.2,1027.7,68616818,2.56E+10,1031.1
Thursday,1031.25,1051.75,1031.25,75687832,2.46E+10,1049.7
Friday,1049.55,1057.45,1040.95,62330269,1.80E+10,1050.15
Monday,1050.15,1070.15,1050.15,74959263,2.23E+10,1067.9
Tuesday,1067.7,1075.75,1051.8,76920329,2.44E+10,1055
Wednesday,1055.75,1055.75,1034.1,63804437,2.31E+10,1036.4
Thursday,1036.75,1052.45,1036.75,66830738,2.13E+10,1045.95
Friday,1047.55,1072.25,1047.55,86984722,2.33E+10,1069.8
Monday,1070.5,1085.75,1054.95,98466325,3.13E+10,1058.65
Tuesday,1058.35,1066.1,1045.65,74261316,2.28E+10,1063.7
Wednesday,1064.1,1076.95,1062.3,75858834,2.86E+10,1069.75
Thursday,1069.95,1078.85,1066.8,64366654,2.33E+10,1077
Friday,1074.45,1087.35,1074.45,59302311,2.14E+10,1086.2
Monday,1089,1100,1075.55,66320701,2.19E+10,1078.45
Tuesday,1078.7,1084.95,1069,54160964,1.75E+10,1073.25
Wednesday,1073.2,1083.65,1072.85,58440571,1.91E+10,1077.95
Thursday,1077.85,1079.9,1070.5,60426570,2.01E+10,1076
Friday,1075.45,1084.95,1075.4,48150321,1.66E+10,1079.3
Monday,1079.3,1082.6,1073.35,39095304,1.29E+10,1076
Tuesday,1075.95,1087,1072.65,46070600,1.58E+10,1085
Thursday,1085.05,1100.4,1085.05,70340712,2.22E+10,1094.8
Friday,1095.65,1103.95,1095.6,61404780,1.96E+10,1098.4
Monday,1095.8,1095.8,1084.35,47674403,1.56E+10,1091.95
Tuesday,1091.85,1100.1,1091.7,46467775,1.58E+10,1093.5
Wednesday,1093.6,1102.1,1093.6,38958168,1.33E+10,1100.15
Thursday,1100.55,1105.6,1091.2,63892238,2.03E+10,1093.05
Friday,1094.45,1099.85,1087.3,61476283,2.05E+10,1089.6
Monday,1089.75,1093.05,1081.25,47347534,1.69E+10,1084.35
Tuesday,1084.4,1089.85,1078.95,53731411,1.81E+10,1081.8
Wednesday,1082.4,1091.45,1082.3,51031790,1.66E+10,1089.35
Thursday,1089.75,1099.15,1087.75,44479270,1.44E+10,1097.35
Friday,1097.6,1103.25,1077.4,54047778,2.32E+10,1080.25
Monday,1080.25,1080.4,1070.75,46771066,1.78E+10,1073.75
Tuesday,1072.7,1080.8,1070.3,44511095,1.72E+10,1078.95
Wednesday,1077.9,1087.5,1077.8,45491014,1.88E+10,1085
Thursday,1085.05,1091.35,1083.95,45419748,1.60E+10,1088.35
Friday,1089.3,1090.25,1083.2,47498203,1.71E+10,1086.5
Monday,1086.25,1087,1074.2,44276855,1.30E+10,1076.35
Tuesday,1076.3,1080.5,1074.1,50161614,1.41E+10,1077.9
Wednesday,1078.45,1086.2,1073.6,48868230,1.34E+10,1082.9
Thursday,1081.4,1083.15,1069.05,59861682,1.67E+10,1070.9
Friday,1070.6,1075.2,1053.4,61550716,1.89E+10,1056.05
Monday,1057.8,1059.35,1030.35,63980714,1.83E+10,1037.65
Tuesday,1036.35,1047.95,1026.75,69969592,1.83E+10,1046.2
Wednesday,1059.8,1059.8,1033.3,71658988,1.78E+10,1037.2
Thursday,1037.15,1050.55,1031.35,79530492,2.21E+10,1034.6
Friday,1034.75,1044.25,1026.2,76707456,2.02E+10,1041.85
Monday,1040.25,1056.6,1036.5,47032852,1.48E+10,1055.3
Tuesday,1056.55,1063.7,1050.45,57858399,1.63E+10,1054.8
Wednesday,1054.3,1054.65,1041.75,53799329,1.48E+10,1047.4
Thursday,1047.25,1065.95,1043.7,48003528,1.44E+10,1063.6
Friday,1063.75,1065.8,1055.5,55925333,1.61E+10,1057.5
Monday,1058.2,1058.75,1047.15,42872573,1.36E+10,1048.6
Tuesday,1048.6,1055.8,1044.55,47493149,1.62E+10,1048
Wednesday,1048.15,1051,1040.4,53197866,1.77E+10,1044.45
Friday,1044.45,1047.05,1034.1,43897560,1.41E+10,1036
Monday,1036.2,1060.5,1036.2,49290270,1.56E+10,1058.2
Tuesday,1058.95,1065.15,1057.6,48386712,1.47E+10,1059.3
